uuid,lineId,points
2421f835-9216-450d-adf7-04438541bc1f,83,0
245da7e7-85f3-4988-9551-a4860df71dd2,69,0
245eff2b-e27a-4165-8bfc-ee2f3067e1af,25,0
24708fdb-c4df-40be-a04f-024dd1361b30,53,0
24803902-6193-4839-a0e0-27ad8d07d872,12,0
24e59cb4-8472-41f7-b96a-0ca8e528ab60,64,0
24f760aa-2384-4fcb-aa36-32fe5e61386a,51,0
24f9a5a3-d9dc-428f-a31a-041b7d2faef4,42,0
2525f83d-e6a2-4dec-a4b3-be734558e095,35,0
254f14c2-6328-4381-a5d6-9c5724ccf852,29,0
25595f94-c7c0-4ab5-b0e6-ebc246165baa,89,0
25652190-1810-4441-9987-d011e44851ef,49,0
25ba4281-3a2b-4944-8bd5-9328ffdb15f7,2,0
25f1d8e2-2251-43f3-9680-3058177471ff,87,0
2610f61a-4f49-401e-bcb0-48990db8a88e,49,0
261178be-8e06-4d50-99b3-9cab2de0bd1e,29,0
262f0471-f3f0-4282-9215-9555d7fffa37,4,0
264a7208-c90d-425d-971c-2ad350957fbc,88,0
264f9ae3-a9f7-4ffa-abea-14c01e8129c6,36,0
26554287-7607-427c-9c68-33cc7775d7ef,39,0
266c7a08-b9c3-4f38-a88f-5a2527570603,27,0
266f92cd-7146-4be6-aa87-0d267895d550,4,0
26a7e824-391a-44ea-aa08-272646d0f312,59,0
26e45952-f945-4e28-bdc8-8f059b15e73e,88,0
270202d4-4124-4860-b22b-ee97672fd00c,43,0
271a8a75-346b-467a-bc2a-040174138ce0,93,0
273b6d72-94d3-463d-ae93-e4f15880439e,34,0
2794ef33-a028-4468-a9a8-e703bd674032,43,0
27a0740a-f710-4c1d-aff6-2868d9261fd9,13,0
27ad223e-3f3c-44b2-8110-e27fdb40ab9d,86,0
27d1e604-687f-4f10-958d-73244b414d7c,92,0
27fb07a6-47c4-4591-96b5-5abef43a0634,33,0
281c5415-70f0-4fad-86d5-256f8db5e040,46,0
282015fc-9757-4d00-81cf-08e0984c384a,71,0
283e9aef-e180-4706-bbf5-6358f2f6a772,75,0
2847d0b1-08c9-4145-87ca-d229a19bf3a9,56,0
284b719a-a0c2-464f-9e62-d8b664121cb1,13,0
2876dca1-1418-4a11-bb1d-b642982c81db,14,0
2896ebda-1b20-4b6a-94dd-c68d836206a2,88,0
28ab8796-61ac-41be-a030-716b2b27e06e,44,0
2900d127-4788-4b04-b358-baea735c7ebd,28,0
2921746f-9190-4f34-981e-bc3c339f1042,55,0
294fb96f-5af4-4a3b-be8c-e41814b8a2ce,39,0
2976968a-1e4c-41ce-9a70-936376949378,77,0
29968e76-ffcb-43d2-9fac-c1c730994288,37,0
29ac69ab-f729-422e-b1a9-6a21ae867401,95,0
29ae248c-5704-47ad-b87a-a38e96ed846e,9,0
29beafa0-e3fb-4e1b-a4ee-c39fb06590c3,65,0
2a025582-bd53-4f4d-83dc-f767b407f564,74,0
2a72d21d-3f1c-458a-88a1-7021cfb42cf6,71,0
2a8f746b-1ded-48b2-b00c-1a110f75ef80,55,0
2a96c877-f5c7-4382-b231-6e7adf3341bc,63,0
2adc72ab-4278-4389-99f6-bc571d1aacc6,25,0
2b221c03-3ab3-4244-8f70-f5ec39e407d3,82,0
2b314653-bf56-4145-a558-df513f6924a5,4,0
2b3d7e5e-ac65-4ec0-a6d4-72e747d08b32,93,0
2b9b6f39-d74c-4aee-9278-b42d225447fc,51,0
2ba9f9b0-0ea5-401b-a0e1-ff839d460619,49,0
2bd73afb-5dae-4178-864b-a013d89d9ee0,86,0
2be08ab7-8627-4149-b006-8c6a6deb676b,88,0
2c1845d9-0705-40ab-a709-4c8af659dac5,21,0
2c1abe9b-3ac5-407c-a36f-567e12ea3dc4,62,0
2c2efa06-ceca-4ff1-81d0-32099658c6ea,6,0
2c38ce00-b20c-4048-9c73-d64aa39aef20,5,0
2c49263f-f7c0-4e48-a444-ff15b2533f0b,58,0
2c7831ab-8376-4ec8-a53d-4a3b75a32a5a,65,0
2c820ed3-5ec1-4fc3-87dc-c6b2cb254c2d,59,0
2ca393c4-771d-480e-9e7b-c926d5bbb229,36,0
2cb88052-464f-45d3-9a6e-72a7f0cdfeed,4,0
2cc19bf4-61c7-45a4-90f3-c69dc296da0c,52,0
2cc7f02e-e03b-4339-a477-19d3c8f1d2c8,45,0
2ce1e207-fb90-46d7-af09-f5d25892f85c,87,0
