device_id,track,count,speed_kmh,occupancy_pct,start_time,end_time
STE_TD3,t1,0.0,0.0,0.0,2025/10/16 13:45,2025/10/16 14:00
STE_TD3,t2,0.0,0.0,0.0,2025/10/16 13:30,2025/10/16 13:45
TRO_203,t1,,,0.0,-,-
TRO_203,t2,,,0.0,-,-
SB020_BBin,t1,0.0,0.0,0.0,2025/04/06 22:15,2025/04/06 22:30
SB020_BBin,t2,0.0,0.0,0.0,2025/04/06 22:00,2025/04/06 22:15
STE_TD2,t1,173.0,39.59,375.0,2025/10/16 13:45,2025/10/16 14:00
STE_TD2,t2,188.0,8.875,850.0,2025/10/16 13:30,2025/10/16 13:45
LOU_TD2,t1,,,0.0,-,-
LOU_TD2,t2,,,0.0,-,-
MON_TD2,t1,,,0.0,-,-
MON_TD2,t2,,,0.0,-,-
DEL_103,t1,183.0,34.345,890.4999999999999,2025/10/16 13:45,2025/10/16 14:00
DEL_103,t2,230.0,33.485,1200.0,2025/10/16 13:30,2025/10/16 13:45
STE_TD1,t1,81.0,42.46,836.0,2025/10/16 13:45,2025/10/16 14:00
STE_TD1,t2,78.0,41.47,733.0,2025/10/16 13:30,2025/10/16 13:45
ROG_TD2,t1,185.0,54.24,1158.0,2025/10/16 13:45,2025/10/16 14:00
ROG_TD2,t2,206.0,54.85,1290.0,2025/10/16 13:30,2025/10/16 13:45
LEO_128,t1,,,0.0,-,-
LEO_128,t2,,,0.0,-,-
PNA_103,t1,,,0.0,-,-
PNA_103,t2,,,0.0,-,-
PNA_203,t1,,,0.0,-,-
PNA_203,t2,,,0.0,-,-
RCE_TD1,t1,,,0.0,-,-
RCE_TD1,t2,,,0.0,-,-
SGN02_BAout,t1,0.0,0.0,0.0,2025/04/06 22:15,2025/04/06 22:30
SGN02_BAout,t2,0.0,0.0,0.0,2025/04/06 22:00,2025/04/06 22:15
